,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Moosomin,50.13,-101.67,-13.52,93,70,3.66,CA,1605205369
117,Ancud,-41.87,-73.82,16.0,51,75,3.6,CL,1605205370
118,Yerbogachën,61.28,108.01,-4.88,95,82,6.01,RU,1605205370
119,Praia da Vitória,38.73,-27.07,18.0,68,75,4.2,PT,1605205370
120,Richards Bay,-28.78,32.04,17.9,75,1,2.05,ZA,1605205370
121,Kanigoro,-8.13,112.22,24.3,88,42,1.16,ID,1605205370
122,Izhevskoye,54.56,40.87,-0.92,96,45,3.18,RU,1605205370
123,Verkhnevilyuysk,63.45,120.32,-5.96,98,100,1.4,RU,1605205371
124,Vardø,70.37,31.11,2.0,83,75,18.5,NO,1605205371
125,Naze,28.37,129.48,21.0,73,40,7.2,JP,1605205371
126,Riyadh,24.69,46.72,25.0,27,0,2.1,SA,1605205371
127,East London,-33.02,27.91,20.0,77,20,6.7,ZA,1605205371
128,Nikolskoye,59.7,30.79,5.0,86,90,1.0,RU,1605205371
129,Qaanaaq,77.48,-69.36,-13.78,79,99,3.8,GL,1605205372
130,Flinders,-34.58,150.86,20.0,86,100,0.45,AU,1605205372
131,Banepā,27.63,85.52,12.0,87,20,1.5,NP,1605205372
132,Manokwari,-0.87,134.08,26.45,76,100,1.92,ID,1605205372
133,Kārkala,13.2,74.98,27.0,83,20,1.24,IN,1605205372
134,Qingquan,30.45,115.26,14.44,67,0,1.24,CN,1605205372
135,Sarakhs,36.54,61.16,9.0,100,100,1.0,IR,1605205373
136,Arica,-18.48,-70.3,21.67,60,0,5.7,CL,1605205373
137,Santa Rosa,14.31,121.11,27.0,83,20,2.6,PH,1605205373
138,Poya,-21.35,165.15,21.99,82,6,2.12,NC,1605205373
139,Puri,19.8,85.85,24.0,83,40,1.0,IN,1605205373
140,New Norfolk,-42.78,147.06,15.0,63,70,0.45,AU,1605205374
141,Huarmey,-10.07,-78.15,21.69,63,69,5.12,PE,1605205374
142,Zabaykal'sk,49.63,117.32,-6.0,86,5,1.32,RU,1605205374
143,Aksu,41.12,80.26,2.93,57,50,0.27,CN,1605205374
144,Lorengau,-2.02,147.27,27.92,71,54,2.86,PG,1605205374
145,Faanui,-16.48,-151.75,26.08,79,53,5.07,PF,1605205374
146,Port Blair,11.67,92.75,27.55,79,26,7.15,IN,1605205111
147,Broome,42.25,-75.83,7.22,80,90,5.1,US,1605205375
148,Coyhaique,-45.58,-72.07,15.0,47,75,5.1,CL,1605205375
149,Beloha,-25.17,45.05,22.13,77,67,4.23,MG,1605205375
150,Pangnirtung,66.15,-65.71,-12.0,66,90,4.1,CA,1605205375
151,Mahenge,-8.68,36.72,20.43,94,68,1.48,TZ,1605205375
152,Mezen',65.85,44.24,0.43,96,100,3.55,RU,1605205376
153,Geraldton,-28.77,114.6,15.0,82,40,2.6,AU,1605205376
154,Pevek,69.7,170.31,-12.82,94,75,3.79,RU,1605205376
155,Sitia,35.2,26.1,17.78,61,40,2.68,GR,1605205376
156,Dunedin,-45.87,170.5,13.89,87,75,0.89,NZ,1605205263
157,Kochki,54.34,80.48,-3.02,98,100,5.7,RU,1605205326
158,Bredasdorp,-34.53,20.04,21.67,68,16,2.27,ZA,1605205377
159,Kavieng,-2.57,150.8,27.96,75,55,2.54,PG,1605205377
160,Egvekinot,66.32,-179.17,-7.3,93,100,8.75,RU,1605205377
161,Tigil',57.8,158.67,-7.59,96,94,3.84,RU,1605205377
162,Biak,-0.91,122.88,25.68,81,76,0.73,ID,1605205377
163,Tobias Barreto,-11.18,-38.0,30.73,44,16,6.38,BR,1605205377
164,Pacific Grove,36.62,-121.92,13.89,76,1,2.1,US,1605205378
165,Banda Aceh,5.56,95.32,26.4,81,94,2.25,ID,1605205378
166,Mana,5.66,-53.78,27.75,83,50,4.72,GF,1605205378
167,Neman,55.03,22.03,5.62,81,100,3.58,RU,1605205378
168,Raja,8.46,25.68,26.87,28,42,2.22,SS,1605205378
169,Saint-Augustin,51.23,-58.65,5.71,63,0,6.27,CA,1605205378
170,Ranot,7.78,100.32,27.74,80,100,4.44,TH,1605205379
171,Nyírbéltek,47.7,22.13,6.11,93,90,1.5,HU,1605205379
172,Meridian,43.61,-116.39,3.33,74,1,5.7,US,1605205313
173,Malakal,9.53,31.66,28.71,36,0,1.23,SS,1605205379
174,Sur,22.57,59.53,22.82,67,0,1.87,OM,1605205380
175,Bethel,41.37,-73.41,8.33,75,90,4.6,US,1605205380
176,Nanortalik,60.14,-45.24,-1.21,92,82,3.33,GL,1605205380
177,Batangafo,7.3,18.28,26.46,52,100,1.42,CF,1605205380
178,Parrita,9.52,-84.32,26.0,69,40,4.6,CR,1605205380
179,Margate,51.38,1.39,10.56,77,15,0.89,GB,1605205283
180,Birin,26.89,88.07,12.1,63,0,2.18,NP,1605205381
181,Quime,-16.98,-67.22,18.71,44,38,3.4,BO,1605205381
182,Laguna,38.42,-121.42,12.78,57,1,0.9,US,1605205381
183,Yegros,-26.45,-56.4,33.83,34,1,3.59,PY,1605205381
184,Vostok,46.49,135.88,1.73,100,100,4.11,RU,1605205382
185,Fairbanks,64.84,-147.72,-7.78,92,90,0.69,US,1605205379
186,Garoafa,45.78,27.2,8.0,70,75,2.1,RO,1605205382
187,Mahajanga,-15.72,46.32,28.0,78,20,5.1,MG,1605205382
188,Lodja,-3.48,23.43,24.0,77,44,0.68,CD,1605205382
189,Talnakh,69.49,88.4,-22.0,83,40,7.0,RU,1605205383
190,Hualmay,-11.1,-77.61,21.1,65,85,4.78,PE,1605205383
191,Oregon,44.0,-120.5,1.67,54,82,1.79,US,1605205365
192,Kolda,12.88,-14.95,34.0,44,0,2.1,SN,1605205383
193,Ballina,-28.87,153.57,21.0,73,63,4.1,AU,1605205383
194,Altay,47.87,88.12,4.45,62,100,0.41,CN,1605205383
195,Puerto Nariño,-3.77,-70.38,26.0,100,75,3.6,CO,1605205384
196,Vaghashen,40.14,45.33,1.93,84,63,2.18,AM,1605205384
197,Comodoro Rivadavia,-45.87,-67.5,27.0,21,75,7.2,AR,1605205384
198,Hadejia,12.45,10.04,27.95,20,74,3.2,NG,1605205384
199,Mar del Plata,-38.0,-57.56,21.0,64,40,8.7,AR,1605205238
200,Mitsamiouli,-11.38,43.28,26.66,72,93,1.2,KM,1605205384
201,Lagoa,39.05,-27.98,16.96,74,0,4.38,PT,1605205385
202,Progreso,21.28,-89.67,28.89,78,75,2.1,MX,1605205385
203,Muros,42.78,-9.06,15.56,85,46,2.68,ES,1605205385
204,Ilulissat,69.22,-51.1,-4.0,79,75,9.8,GL,1605205112
205,Isla Mujeres,21.23,-86.73,29.0,74,75,2.1,MX,1605205385
206,Buala,-8.14,159.59,27.21,82,95,3.69,SB,1605205385
207,Bathsheba,13.22,-59.52,30.0,70,40,6.2,BB,1605205386
208,Hanzhong,33.07,107.03,14.05,59,0,0.6,CN,1605205386
209,Hobyo,5.35,48.53,26.62,77,18,6.02,SO,1605205386
210,Yala,6.33,101.25,23.38,93,93,0.91,TH,1605205386
211,Puerto Escondido,15.85,-97.07,30.0,70,40,5.1,MX,1605205387
212,Ōdachō-ōda,35.18,132.5,11.16,66,0,2.61,JP,1605205387
213,Nsoko,-27.03,31.95,24.0,60,4,3.6,SZ,1605205387
214,Sitka,57.05,-135.33,5.0,86,90,4.6,US,1605205387
215,Taitung City,22.76,121.14,23.05,77,100,6.43,TW,1605205387
216,Vilhena,-12.74,-60.15,31.0,52,40,2.1,BR,1605205387
217,Bilma,18.69,12.92,22.95,26,1,2.28,NE,1605205387
218,Jalu,29.03,21.55,19.6,53,0,2.91,LY,1605205388
219,Isla Vista,34.41,-119.86,16.67,72,1,2.6,US,1605205388
220,Pierre,44.37,-100.35,-1.11,63,1,5.7,US,1605205388
221,Cape Town,-33.93,18.42,24.44,52,0,2.6,ZA,1605204880
222,Port Alfred,-33.59,26.89,19.56,81,15,10.89,ZA,1605205388
223,Bilibino,68.05,166.44,-16.82,89,100,2.46,RU,1605205388
224,Yārāda,17.65,83.27,27.0,78,75,2.1,IN,1605205388
225,Luwuk,-0.95,122.79,26.11,77,70,0.48,ID,1605205388
226,Sambava,-14.27,50.17,24.07,81,54,0.55,MG,1605205389
227,Coxim,-18.51,-54.76,34.76,37,100,3.42,BR,1605205389
228,Kununurra,-15.77,128.73,29.0,89,37,3.6,AU,1605205389
229,Khani,41.96,42.96,7.0,93,0,0.5,GE,1605205389
230,Zhigansk,66.77,123.37,-14.76,94,100,5.09,RU,1605205389
231,Kaniama,-7.57,24.18,21.11,92,84,0.97,CD,1605205390
232,Takaungu,-3.68,39.86,26.27,81,7,3.38,KE,1605205390
233,Jining,35.41,116.58,11.39,61,0,0.84,CN,1605205390
234,Panama City,8.99,-79.52,30.0,94,20,2.1,PA,1605205132
235,Aklavik,68.22,-135.01,-15.0,84,90,4.1,CA,1605205390
236,Maraã,-1.83,-65.37,35.59,43,94,1.95,BR,1605205390
237,Hamilton,39.18,-84.53,11.11,53,1,3.6,US,1605205129
238,Mount Gambier,-37.83,140.77,12.0,93,75,3.6,AU,1605205391
239,Palu,-0.89,119.87,24.85,78,52,1.19,ID,1605205391
240,Severo-Kuril'sk,50.68,156.12,2.43,86,92,5.43,RU,1605205391
241,General Roca,-39.03,-67.58,26.0,41,0,5.7,AR,1605205391
242,Kars,40.6,43.09,-2.0,79,0,0.5,TR,1605205173
243,Narón,43.52,-8.15,16.0,72,0,1.5,ES,1605205391
244,Los Llanos de Aridane,28.66,-17.92,22.0,83,0,1.5,ES,1605205392
245,Waverly,42.74,-84.62,9.44,51,1,2.6,US,1605205307
246,Mahuva,21.09,71.76,25.02,37,0,5.32,IN,1605205392
247,Lázaro Cárdenas,17.96,-102.2,28.76,65,4,1.98,MX,1605205392
248,Daşoguz,41.84,59.97,-1.0,58,0,2.1,TM,1605205392
249,Béboto,8.27,16.94,26.86,38,26,1.13,TD,1605205392
250,Kyren,51.68,102.14,-0.1,83,13,1.58,RU,1605205393
251,Kahului,20.89,-156.47,26.0,65,40,6.7,US,1605205353
252,Florianópolis,-27.61,-48.5,27.22,78,75,5.1,BR,1605205393
253,Torbay,47.67,-52.73,13.89,87,75,10.8,CA,1605205129
254,Lavrentiya,65.58,-171.0,-0.63,95,100,8.34,RU,1605205393
255,Jiangyou,31.77,104.72,18.08,60,95,0.75,CN,1605205393
256,Ponta Delgada,37.73,-25.67,16.0,67,75,3.6,PT,1605205094
257,Vila Franca do Campo,37.72,-25.43,16.0,67,75,3.6,PT,1605205394
258,Klyuchi,52.27,79.17,-3.05,96,74,6.76,RU,1605205394
259,Phuthaditjhaba,-28.52,28.82,15.57,59,3,1.46,ZA,1605205394
260,Bulawayo,-20.15,28.58,18.85,69,12,6.54,ZW,1605205394
261,Davila,18.47,120.58,26.0,88,75,1.5,PH,1605205395
262,Altamont,42.21,-121.74,1.67,86,1,2.06,US,1605205395
263,Tsogni,-2.79,10.1,25.14,91,98,2.06,GA,1605205395
264,Saldanha,-33.01,17.94,26.0,31,34,5.1,ZA,1605205395
265,Broken Hill,-31.95,141.43,15.0,62,1,4.1,AU,1605205395
266,Skibbereen,51.55,-9.27,11.0,93,75,9.3,IE,1605205395
267,Wagar,16.15,36.2,26.69,62,2,8.86,SD,1605205396
268,Blackwater,-23.58,148.88,19.71,77,85,4.08,AU,1605205396
269,Makanya,-4.37,37.83,24.69,69,18,2.65,TZ,1605205396
270,Nieuwpoort,51.12,2.77,11.67,93,13,3.6,BE,1605205396
271,Buta,2.79,24.73,24.56,71,18,2.07,CD,1605205396
272,Oeiras do Pará,-2.0,-49.85,35.35,39,6,2.34,BR,1605205396
273,Dekar,-21.53,21.93,28.26,28,57,5.18,BW,1605205396
274,Baruun-Urt,46.68,113.28,-3.04,82,0,5.49,MN,1605205397
275,Tawang Town,27.58,91.87,4.94,63,0,2.39,IN,1605205397
276,Provideniya,64.38,-173.3,-1.59,96,100,4.55,RU,1605205397
277,Bolshaya Sosnova,57.67,54.6,-4.11,95,90,4.84,RU,1605205397
278,Ust'-Omchug,61.15,149.63,-29.42,83,39,1.05,RU,1605205397
279,Faya,18.39,42.45,17.0,88,0,2.1,SA,1605205397
280,Planaltina,-15.45,-47.61,25.0,69,75,4.6,BR,1605205398
281,Romny,50.75,33.47,-0.87,93,100,2.04,UA,1605205398
282,Lofthus,59.95,10.8,5.56,89,100,1.03,NO,1605205398
283,Fuxin,42.02,121.66,4.88,53,0,3.1,CN,1605205398
284,Panjāb,34.39,67.02,-0.23,94,91,1.87,AF,1605205398
285,Safi,32.17,-8.83,19.66,47,98,2.11,MA,1605205399
286,Lüderitz,-26.65,15.16,18.09,66,0,1.81,NA,1605205399
287,Luang Prabang,19.89,102.13,18.28,75,26,0.8,LA,1605205399
288,Te Anau,-45.42,167.72,6.96,85,6,1.07,NZ,1605205399
289,Soyo,-6.13,12.37,26.55,84,39,4.61,AO,1605205399
290,Tshikapa,-6.42,20.8,21.89,93,99,0.91,CD,1605205399
291,Watrous,51.67,-105.47,-17.0,91,2,3.6,CA,1605205400
292,Kudahuvadhoo,2.67,72.89,28.25,71,28,1.65,MV,1605205400
293,Tabriz,38.08,46.29,8.0,61,40,5.1,IR,1605205400
294,Poum,-20.23,164.02,24.39,77,29,7.05,NC,1605205400
295,Dingle,11.0,122.67,24.38,92,50,1.15,PH,1605205400
296,Wuda,39.5,106.71,6.85,51,35,6.06,CN,1605205401
297,Port Hardy,50.7,-127.42,6.0,93,90,9.3,CA,1605205401
298,Shingū,33.73,135.98,14.27,92,98,3.78,JP,1605205401
299,Erciş,39.03,43.36,4.0,66,20,1.5,TR,1605205401
300,Tashtyp,52.79,89.9,0.21,93,76,1.04,RU,1605205401
301,Sioux Lookout,50.1,-91.92,-2.0,79,90,2.6,CA,1605205401
302,Guiratinga,-16.35,-53.76,25.09,73,100,0.48,BR,1605205401
303,Yarensk,62.17,49.09,-3.69,97,79,2.65,RU,1605205402
304,Khuzdar,27.74,66.64,15.16,33,40,0.82,PK,1605205402
305,Halifax,44.65,-63.57,18.33,100,90,2.1,CA,1605205311
306,Bay Roberts,47.6,-53.26,13.33,97,100,4.92,CA,1605205402
307,Nianzishan,47.52,122.88,-0.89,88,0,3.62,CN,1605205402
308,La Tuque,47.43,-72.78,5.0,48,83,3.6,CA,1605205181
309,Kristiansund,63.11,7.73,12.0,50,0,8.7,NO,1605205403
310,Igarka,67.47,86.58,-20.13,90,7,3.87,RU,1605205403
311,Nakonde,-9.34,32.74,20.45,59,89,0.95,ZM,1605205403
312,Airai,-8.93,125.41,16.92,80,93,0.78,TL,1605205403
313,Merauke,-8.47,140.33,25.43,83,24,4.86,ID,1605205403
314,Fortuna,40.6,-124.16,11.11,81,1,2.6,US,1605205403
315,Chui,-33.7,-53.46,21.57,74,60,5.78,UY,1605205404
316,Glendive,47.11,-104.71,-4.0,68,1,4.6,US,1605205404
317,Adrar,20.5,-10.07,29.36,14,0,2.67,MR,1605205404
318,Birao,10.28,22.79,26.5,25,0,2.48,CF,1605205404
319,Bumba,2.18,22.47,25.75,69,21,1.0,CD,1605205404
320,Ternate,0.8,127.4,27.52,75,92,0.58,ID,1605205404
321,La Libertad,-2.23,-80.9,23.0,78,75,4.1,EC,1605205404
322,Port Maria,18.37,-76.89,30.56,88,75,4.92,JM,1605205405
323,Mahon,39.89,4.27,16.0,87,0,1.5,ES,1605205405
324,Reserva,-24.65,-50.85,22.56,83,100,1.82,BR,1605205405
325,Bollnäs,61.35,16.39,4.75,78,100,2.74,SE,1605205405
326,Lompoc,34.64,-120.46,15.0,54,1,2.31,US,1605205405
327,Yangi Marg`ilon,40.43,71.72,7.0,87,90,5.1,UZ,1605205405
328,Sola,-13.88,167.55,25.0,100,20,4.44,VU,1605205406
329,Skjervøy,70.03,20.97,2.0,69,0,6.7,NO,1605205406
330,Milići,44.17,19.09,7.0,100,75,1.0,BA,1605205381
331,Smithers,54.78,-127.17,1.0,69,75,3.6,CA,1605205406
332,Saravena,6.95,-71.88,30.46,62,71,1.72,CO,1605205406
333,Bubaque,11.28,-15.83,29.36,67,0,3.6,GW,1605205406
334,Klaksvík,62.23,-6.59,8.0,100,100,9.3,FO,1605205406
335,Anakapalle,17.68,83.02,27.0,78,75,2.1,IN,1605205407
336,Toamasina,-18.17,49.38,24.0,83,40,2.1,MG,1605205407
337,Krasnosel'kup,65.7,82.47,-18.58,92,93,4.34,RU,1605205407
338,Kushiro,42.98,144.37,4.75,80,48,3.43,JP,1605205407
339,Yei,4.09,30.68,20.42,90,35,1.44,SS,1605205407
340,Hīt,33.64,42.83,20.33,44,0,3.27,IQ,1605205407
341,Săcele,45.62,25.69,3.33,82,25,2.24,RO,1605205408
342,Anadyr,64.75,177.48,-7.0,92,75,2.0,RU,1605205408
343,Idaho Falls,43.47,-112.03,-2.78,85,90,5.1,US,1605205340
344,Okhotsk,59.38,143.3,-13.68,86,85,4.55,RU,1605205408
345,Innisfail,-17.53,146.03,21.28,78,75,1.55,AU,1605205408
346,Port Hedland,-20.32,118.57,25.0,69,34,4.6,AU,1605205408
347,Rosetta,31.4,30.42,21.0,68,40,2.6,EG,1605205409
348,Płońsk,52.62,20.38,5.56,86,75,3.1,PL,1605205409
349,Nísia Floresta,-6.09,-35.21,32.0,55,40,7.7,BR,1605205409
350,Yar-Sale,66.83,70.83,-17.61,93,98,3.76,RU,1605205409
351,Aguadilla,18.43,-67.15,30.0,74,75,6.7,PR,1605205409
352,San Juan Pueblo,15.58,-87.23,30.0,79,20,2.1,HN,1605205409
353,Iquique,-20.22,-70.14,20.0,56,0,7.2,CL,1605205410
354,Payakumbuh,-0.22,100.63,21.97,88,98,0.31,ID,1605205410
355,Santa Isabel Rio Negro,-0.41,-65.02,34.84,46,37,1.77,BR,1605205115
356,Nizhnyaya Tavda,57.67,66.17,-5.34,98,99,2.59,RU,1605205272
357,Gaoua,10.3,-3.25,29.52,22,0,2.47,BF,1605205410
358,Ahipara,-35.17,173.17,12.41,85,6,1.67,NZ,1605205410
359,Araguaína,-7.19,-48.21,35.33,37,41,0.8,BR,1605205410
360,Henties Bay,-22.12,14.28,15.56,89,6,1.55,NA,1605205411
361,Thinadhoo,0.53,72.93,28.57,69,87,1.61,MV,1605205411
362,Mauá,-23.67,-46.46,26.0,83,75,3.6,BR,1605205411
363,Miami,25.77,-80.19,27.78,94,90,3.6,US,1605204658
364,Kaberamaido,1.74,33.16,21.37,82,53,1.33,UG,1605205411
365,Coquimbo,-29.95,-71.34,14.0,82,90,4.6,CL,1605205253
366,Antofagasta,-23.65,-70.4,21.11,68,20,6.7,CL,1605205411
367,Vila Velha,-20.33,-40.29,28.89,69,20,5.7,BR,1605205194
368,Ufa,54.77,56.04,-2.0,86,90,7.0,RU,1605205141
369,Murgab,37.5,61.97,9.0,87,40,2.1,TM,1605205412
370,Kem',64.96,34.58,1.02,92,74,3.5,RU,1605205412
371,Devonport,-41.17,146.35,12.78,86,56,4.45,AU,1605205412
